,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
0,Afghanistan,607,18,32,557,52,2.97,5.27,56.25,38728504.0,16.0,349,258,73.93
1,Albania,446,23,217,206,13,5.16,48.65,10.6,2878471.0,155.0,361,85,23.55
2,Algeria,1914,293,591,1030,89,15.31,30.88,49.58,43672620.0,44.0,1320,594,45.0
3,Andorra,638,29,128,481,37,4.55,20.06,22.66,77238.0,8260.0,501,137,27.35
4,Angola,19,2,4,13,0,10.53,21.05,50.0,32627944.0,1.0,14,5,35.71
5,Antigua and Barbuda,21,2,0,19,0,9.52,0.0,inf,97751.0,215.0,15,6,40.0
6,Argentina,2142,90,468,1584,167,4.2,21.85,19.23,45104437.0,47.0,1451,691,47.62
7,Armenia,1013,13,197,803,46,1.28,19.45,6.6,2962046.0,342.0,822,191,23.24
8,Australia,6315,60,1806,4449,12,0.95,28.6,3.32,25434316.0,248.0,5687,628,11.04
9,Austria,13945,350,6987,6608,139,2.51,50.1,5.01,8995181.0,1550.0,12051,1894,15.72
10,Azerbaijan,1098,11,250,837,40,1.0,22.77,4.4,10119058.0,109.0,584,514,88.01
11,Bahamas,46,8,5,33,0,17.39,10.87,160.0,392416.0,117.0,28,18,64.29
12,Bahrain,1136,6,558,572,96,0.53,49.12,1.08,1687654.0,673.0,700,436,62.29
13,Bangladesh,621,34,39,548,139,5.48,6.28,87.18,164327299.0,4.0,88,533,605.68
14,Barbados,71,4,11,56,3,5.63,15.49,36.36,287299.0,247.0,56,15,26.79
15,Belarus,2578,26,203,2349,352,1.01,7.87,12.81,9449991.0,273.0,562,2016,358.72
16,Belgium,29647,3600,6463,19584,1629,12.14,21.8,55.7,11578652.0,2560.0,19691,9956,50.56
17,Belize,14,2,0,12,1,14.29,0.0,inf,396001.0,35.0,5,9,180.0
18,Benin,35,1,5,29,0,2.86,14.29,20.0,12050124.0,3.0,22,13,59.09
19,Bhutan,5,0,2,3,0,0.0,40.0,0.0,769728.0,6.0,5,0,0.0
20,Bolivia,300,24,2,274,25,8.0,0.67,1200.0,11637548.0,26.0,157,143,91.08
21,Bosnia and Herzegovina,1009,39,193,777,63,3.87,19.13,20.21,3285139.0,307.0,654,355,54.28
22,Botswana,13,1,0,12,0,7.69,0.0,inf,2340869.0,6.0,6,7,116.67
23,Brazil,22192,1223,173,20796,1465,5.51,0.78,706.94,212228418.0,105.0,11130,11062,99.39
24,Brunei,136,1,106,29,0,0.74,77.94,0.94,436555.0,312.0,135,1,0.74
25,Bulgaria,675,29,68,578,14,4.3,10.07,42.65,6959479.0,97.0,531,144,27.12
26,Burkina Faso,497,27,161,309,13,5.43,32.39,16.77,20770940.0,24.0,345,152,44.06
27,Burma,41,4,2,35,3,9.76,4.88,200.0,54409800.0,1.0,21,20,95.24
28,Burundi,5,0,0,5,0,0.0,0.0,0.0,11808515.0,0.0,3,2,66.67
29,Cabo Verde,8,1,1,6,0,12.5,12.5,100.0,554651.0,14.0,7,1,14.29
30,Cambodia,122,0,77,45,2,0.0,63.11,0.0,16667391.0,7.0,114,8,7.02
31,Cameroon,820,12,98,710,0,1.46,11.95,12.24,26394308.0,31.0,650,170,26.15
