,Date,Confirmed,Deaths,Recovered,Active,New cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries
0,2020-01-22,555,17,28,510,0,3.06,5.05,60.71,6
1,2020-01-23,654,18,30,606,99,2.75,4.59,60.0,8
2,2020-01-24,941,26,36,879,287,2.76,3.83,72.22,9
3,2020-01-25,1434,42,39,1353,493,2.93,2.72,107.69,11
4,2020-01-26,2118,56,52,2010,684,2.64,2.46,107.69,13
5,2020-01-27,2927,82,61,2784,809,2.8,2.08,134.43,16
6,2020-01-28,5578,131,107,5340,2651,2.35,1.92,122.43,16
7,2020-01-29,6166,133,126,5907,588,2.16,2.04,105.56,18
8,2020-01-30,8234,171,143,7920,2068,2.08,1.74,119.58,20
9,2020-01-31,9927,213,222,9492,1693,2.15,2.24,95.95,24
10,2020-02-01,12038,259,284,11495,2111,2.15,2.36,91.2,25
11,2020-02-02,16787,362,472,15953,4749,2.16,2.81,76.69,25
12,2020-02-03,19881,426,623,18832,3094,2.14,3.13,68.38,25
13,2020-02-04,23892,492,852,22548,4011,2.06,3.57,57.75,26
14,2020-02-05,27635,564,1124,25947,3743,2.04,4.07,50.18,26
15,2020-02-06,30794,634,1487,28673,3159,2.06,4.83,42.64,26
16,2020-02-07,34330,719,2011,31600,3536,2.09,5.86,35.75,26
17,2020-02-08,37059,806,2616,33637,2729,2.17,7.06,30.81,26
18,2020-02-09,40086,906,3244,35936,3027,2.26,8.09,27.93,26
19,2020-02-10,42627,1013,3946,37668,2541,2.38,9.26,25.67,26
20,2020-02-11,44667,1113,4683,38871,2040,2.49,10.48,23.77,26
21,2020-02-12,46554,1118,5149,40287,1887,2.4,11.06,21.71,26
22,2020-02-13,60193,1371,6294,52528,13639,2.28,10.46,21.78,26
23,2020-02-14,66667,1523,8057,57087,6474,2.28,12.09,18.9,27
24,2020-02-15,68745,1666,9394,57685,2078,2.42,13.66,17.73,27
25,2020-02-16,70869,1770,10864,58235,2124,2.5,15.33,16.29,27
26,2020-02-17,72804,1868,12582,58354,1935,2.57,17.28,14.85,27
27,2020-02-18,74594,2007,14351,58236,1790,2.69,19.24,13.99,27
28,2020-02-19,75018,2122,16119,56777,424,2.83,21.49,13.16,28
29,2020-02-20,75563,2245,18175,55143,545,2.97,24.05,12.35,28
30,2020-02-21,76185,2249,18886,55050,622,2.95,24.79,11.91,30
31,2020-02-22,77938,2456,22882,52600,1753,3.15,29.36,10.73,30
32,2020-02-23,78267,2466,23391,52410,329,3.15,29.89,10.54,30
33,2020-02-24,78870,2626,25224,51020,603,3.33,31.98,10.41,35
34,2020-02-25,79715,2705,27902,49108,845,3.39,35.0,9.69,39
35,2020-02-26,80683,2766,30371,47546,968,3.43,37.64,9.11,46
36,2020-02-27,82041,2810,33261,45970,1358,3.43,40.54,8.45,50
37,2020-02-28,83407,2866,36695,43846,1366,3.44,44.0,7.81,56
38,2020-02-29,85306,2935,39766,42605,1899,3.44,46.62,7.38,60
39,2020-03-01,87664,2990,42700,41974,2358,3.41,48.71,7.0,65
